Filename, Line #, TypeChef-Type, .\axtls_2_1_4_cbmc.json-Type
proc.c, 1104, Check stdlibfunc return, overflow
p12.c, 423, Xfree, assertion
sha256.c, 142, Uninitialized memory, overflow
tls1.c, 987, Uninitialized memory, overflow
proc.c, 322, Uninitialized memory, overflow
loader.c, 319, Check stdlibfunc return, overflow
aes.c, 394, Uninitialized memory, pointer dereference
proc.c, 1076, Uninitialized memory, overflow
sha256.c, 144, Uninitialized memory, overflow
axhttpd.c, 584, Uninitialized memory, overflow
p12.c, 224, Uninitialized memory, overflow
aes.c, 313, Uninitialized memory, overflow
tls1.c, 977, Uninitialized memory, overflow
tls1.c, 1253, Dead store, pointer dereference
proc.c, 759, Check stdlibfunc return, pointer dereference
sha256.c, 139, Uninitialized memory, overflow
sha1.c, 132, Uninitialized memory, array bounds
asn1.c, 518, Xfree, assertion
proc.c, 869, Uninitialized memory, overflow
gen_cert.c, 166, Uninitialized memory, overflow
axhttpd.c, 538, Uninitialized memory, overflow
sha1.c, 126, Uninitialized memory, overflow
gen_cert.c, 356, Uninitialized memory, pointer dereference
proc.c, 90, Check stdlibfunc return, overflow
crypto_misc.c, 93, Check stdlibfunc return, assertion
asn1.c, 313, Xfree, assertion
aes.c, 282, Uninitialized memory, overflow
tls1.c, 871, Uninitialized memory, overflow
openssl.c, 314, Check stdlibfunc return, assertion
axhttpd.c, 104, Double free, assertion
bigint.c, 101, Check stdlibfunc return, overflow
crypto_misc.c, 246, Uninitialized memory, overflow
sha1.c, 125, Uninitialized memory, overflow
asn1.c, 307, Xfree, assertion
tls1.c, 227, Double free, assertion
bigint.c, 150, Xfree, assertion
proc.c, 191, Uninitialized memory, overflow
aes.c, 276, Uninitialized memory, array bounds
aes.c, 345, Uninitialized memory, overflow
sha1.c, 155, Uninitialized memory, overflow
sha256.c, 148, Uninitialized memory, overflow
axhttpd.c, 295, Dead store, pointer dereference
md5.c, 207, Uninitialized memory, overflow
loader.c, 260, Uninitialized memory, overflow
tls1.c, 146, Check stdlibfunc return, overflow
proc.c, 213, Uninitialized memory, pointer dereference
proc.c, 879, Dead store, pointer dereference
axhttpd.c, 606, Check stdlibfunc return, overflow
asn1.c, 550, Xfree, assertion
asn1.c, 498, Xfree, assertion
sha256.c, 143, Uninitialized memory, overflow
proc.c, 1124, Uninitialized memory, overflow
asn1.c, 304, Xfree, assertion
proc.c, 323, Uninitialized memory, overflow
bigint.c, 149, Double free, assertion
aes.c, 339, Uninitialized memory, overflow
proc.c, 1058, Uninitialized memory, overflow
aes.c, 326, Uninitialized memory, array bounds
sha256.c, 145, Uninitialized memory, overflow
tls1.c, 905, Uninitialized memory, pointer dereference
tls1.c, 1245, Uninitialized memory, overflow
aes.c, 260, Dead store, pointer dereference
tls1.c, 843, Uninitialized memory, overflow
hmac.c, 86, Uninitialized memory, overflow
tls1.c, 1406, Case termination, pointer dereference
p12.c, 421, Xfree, assertion
aes.c, 301, Uninitialized memory, array bounds
sha256.c, 136, Uninitialized memory, overflow
sha512.c, 197, Dead store, pointer dereference
tls1.c, 815, Uninitialized memory, overflow
tls1.c, 965, Uninitialized memory, overflow
aes.c, 336, Uninitialized memory, array bounds
