Filename, Line #, TypeChef-Type, .\axtls_2_1_4_ikos.json-Type
proc.c, 1124, Uninitialized memory, ignored-call-side-effect
tls1.c, 227, Double free, buffer-overflow
axssl.c, 263, Xfree, unreachable
proc.c, 759, Check stdlibfunc return, unknown-memory-access
p12.c, 224, Uninitialized memory, unreachable
proc.c, 201, Uninitialized memory, unknown-memory-access
axhttpd.c, 176, Check stdlibfunc return, signed-int-overflow
loader.c, 326, Check stdlibfunc return, ignored-call-side-effect
asn1.c, 313, Xfree, free
proc.c, 1163, Check stdlibfunc return, ignored-call-side-effect
p12.c, 421, Xfree, ignored-free
proc.c, 282, Uninitialized memory, ignored-call-side-effect
proc.c, 1215, Check stdlibfunc return, ignored-call-side-effect
p12.c, 168, Check stdlibfunc return, unknown-memory-access
proc.c, 191, Uninitialized memory, unknown-memory-access
proc.c, 491, Uninitialized memory, ignored-call-side-effect
proc.c, 1104, Check stdlibfunc return, ignored-call-side-effect
proc.c, 486, Uninitialized memory, ignored-call-side-effect
proc.c, 1135, Check stdlibfunc return, ignored-call-side-effect
loader.c, 312, Check stdlibfunc return, ignored-call-side-effect
axssl.c, 229, Check stdlibfunc return, ignored-call-side-effect
gen_cert.c, 356, Uninitialized memory, null-pointer-deref
proc.c, 1109, Uninitialized memory, ignored-call-side-effect
asn1.c, 307, Xfree, free
hmac.c, 55, Uninitialized memory, null-pointer-deref
axssl.c, 353, Uninitialized memory, unreachable
tls1.c, 1406, Case termination, unknown-memory-access
tls1.c, 987, Uninitialized memory, buffer-overflow
proc.c, 166, Check stdlibfunc return, ignored-call-side-effect
sha1.c, 127, Uninitialized memory, unknown-memory-access
proc.c, 1115, Uninitialized memory, buffer-overflow
hmac.c, 88, Uninitialized memory, null-pointer-deref
loader.c, 260, Uninitialized memory, unreachable
asn1.c, 304, Xfree, free
loader.c, 80, Check stdlibfunc return, null-pointer-deref
proc.c, 1154, Check stdlibfunc return, null-pointer-deref
aes.c, 296, Uninitialized memory, buffer-overflow
axtlswrap.c, 110, Dead store, unreachable
x509.c, 357, Double free, null-pointer-deref
proc.c, 277, Uninitialized memory, ignored-call-side-effect
aes.c, 321, Uninitialized memory, null-pointer-deref
axssl.c, 227, Check stdlibfunc return, ignored-call-side-effect
loader.c, 282, Uninitialized memory, unreachable
asn1.c, 314, Xfree, free
bigint.c, 602, Dead store, null-pointer-deref
proc.c, 842, Dead store, null-pointer-deref
tls1.c, 905, Uninitialized memory, buffer-overflow
tls1.c, 765, Uninitialized memory, null-pointer-deref
axhttpd.c, 584, Uninitialized memory, null-pointer-deref
proc.c, 1079, Uninitialized memory, null-pointer-deref
proc.c, 790, Check stdlibfunc return, ignored-call-side-effect
loader.c, 241, Check stdlibfunc return, unreachable
aes.c, 260, Dead store, buffer-overflow
axhttpd.c, 161, Check stdlibfunc return, signed-int-overflow
proc.c, 213, Uninitialized memory, null-pointer-deref
tls1.c, 1393, Case termination, null-pointer-deref
loader.c, 460, Xfree, ignored-free
axssl.c, 340, Uninitialized memory, ignored-call-side-effect
loader.c, 275, Uninitialized memory, unreachable
axssl.c, 294, Uninitialized memory, unreachable
