Filename, Line #, TypeChef-Type, .\busybox_1_28_0_cbmc.json-Type
ash.c, 3726, Uninitialized memory, pointer dereference
inetd.c, 918, Check stdlibfunc return, pointer dereference
vi.c, 942, Xfree, assertion
route.c, 646, Xfree, assertion
login.c, 168, Check stdlibfunc return, assertion
expr.c, 289, Uninitialized memory, overflow
fbset.c, 301, Uninitialized memory, overflow
ps.c, 786, Uninitialized memory, pointer dereference
vi.c, 831, Check stdlibfunc return, overflow
mpstat.c, 652, Check stdlibfunc return, assertion
mount.c, 663, Xfree, assertion
ash.c, 12213, Check stdlibfunc return, overflow
od_bloaty.c, 1014, Uninitialized memory, array bounds
mdev.c, 703, Uninitialized memory, overflow
mount.c, 1318, Uninitialized memory, overflow
sendmail.c, 131, Xfree, assertion
lineedit.c, 2275, Uninitialized memory, pointer dereference
diff.c, 486, Uninitialized memory, array bounds
hush.c, 10322, Dead store, pointer dereference
nmeter.c, 592, Uninitialized memory, pointer dereference
sestatus.c, 142, Uninitialized memory, array bounds
iostat.c, 501, Uninitialized memory, pointer dereference
tls_pstm.c, 288, Dead store, pointer dereference
mkfs_ext2.c, 416, Dead store, overflow
compress.c, 529, Uninitialized memory, overflow
devfsd.c, 1046, Uninitialized memory, overflow
get_header_tar.c, 390, Case termination, pointer dereference
lzop.c, 933, Uninitialized memory, pointer dereference
ifplugd.c, 549, Uninitialized memory, overflow
hush.c, 5717, Dead store, pointer dereference
mdev.c, 834, Uninitialized memory, overflow
du.c, 230, Check stdlibfunc return, pointer dereference
get_header_ar.c, 103, Uninitialized memory, pointer dereference
getty.c, 518, Case termination, pointer dereference
realpath.c, 44, Double free, assertion
decompress_gunzip.c, 352, Uninitialized memory, array bounds
mdev.c, 644, Check stdlibfunc return, pointer dereference
rx.c, 109, Uninitialized memory, overflow
fdisk_sun.c, 433, Uninitialized memory, overflow
find.c, 817, Case termination, pointer dereference
less.c, 1630, Check stdlibfunc return, pointer dereference
ntpd.c, 2288, Uninitialized memory, pointer dereference
decompress_bunzip2.c, 323, Uninitialized memory, array bounds
iproute.c, 162, Uninitialized memory, overflow
sed.c, 1609, Double free, assertion
seq.c, 63, Case termination, pointer dereference
arp.c, 455, Uninitialized memory, pointer dereference
inotifyd.c, 193, Uninitialized memory, pointer dereference
hush.c, 8507, Xfree, assertion
ps.c, 772, Uninitialized memory, pointer dereference
lzo1x_9x.c, 267, Dead store, pointer dereference
mdev.c, 843, Uninitialized memory, overflow
executable.c, 44, Check stdlibfunc return, overflow
mount.c, 1300, Uninitialized memory, overflow
sendmail.c, 125, Xfree, assertion
passwd.c, 96, Xfree, assertion
wget.c, 1039, Double free, assertion
patch.c, 94, Dead store, pointer dereference
libnetlink.c, 345, Dead store, pointer dereference
hush.c, 8270, Xfree, assertion
popmaildir.c, 277, Xfree, assertion
ps.c, 439, Check stdlibfunc return, overflow
ntpd.c, 1232, Uninitialized memory, array bounds
decompress_gunzip.c, 432, Uninitialized memory, array bounds
verror_msg.c, 65, Check stdlibfunc return, overflow
svlogd.c, 650, Uninitialized memory, pointer dereference
slattach.c, 177, Uninitialized memory, overflow
arp.c, 462, Uninitialized memory, pointer dereference
dhcpc.c, 1339, Check stdlibfunc return, overflow
tls_pstm.c, 1155, Dead store, pointer dereference
ipneigh.c, 132, Uninitialized memory, overflow
hush.c, 6740, Xfree, assertion
init.c, 968, Xfree, assertion
get_header_ar.c, 85, Xfree, assertion
awk.c, 660, Uninitialized memory, overflow
vi.c, 2273, Xfree, assertion
fdisk_osf.c, 794, Uninitialized memory, overflow
lineedit.c, 1285, Xfree, assertion
ifconfig.c, 499, Uninitialized memory, pointer dereference
fdisk_sun.c, 447, Uninitialized memory, array bounds
acpid.c, 236, Uninitialized memory, pointer dereference
blocksort.c, 690, Uninitialized memory, array bounds
devfsd.c, 1100, Case termination, overflow
hush.c, 8849, Check stdlibfunc return, overflow
cpio.c, 332, Double free, assertion
arping.c, 127, Uninitialized memory, overflow
dump.c, 189, Check stdlibfunc return, pointer dereference
dpkg.c, 710, Xfree, assertion
svlogd.c, 309, Case termination, pointer dereference
decompress_uncompress.c, 309, Xfree, assertion
ls.c, 619, Xfree, assertion
diff.c, 621, Uninitialized memory, overflow
awk.c, 2400, Uninitialized memory, overflow
route.c, 198, Check stdlibfunc return, overflow
tunctl.c, 95, Uninitialized memory, overflow
httpd.c, 2018, Xfree, assertion
ifplugd.c, 467, Uninitialized memory, pointer dereference
ipaddress.c, 124, Uninitialized memory, overflow
popmaildir.c, 197, Xfree, assertion
date.c, 344, Check stdlibfunc return, overflow
fdisk_sun.c, 420, Uninitialized memory, array bounds
powertop.c, 492, Uninitialized memory, overflow
hush.c, 9844, Xfree, assertion
diff.c, 506, Uninitialized memory, pointer dereference
ip.c, 379, Dead store, overflow
lineedit.c, 1403, Double free, pointer dereference
