Filename, Line #, TypeChef-Type, .\toybox_0_7_5_cbmc.json-Type
date.c, 193, Dead store, pointer dereference
netstat.c, 171, Uninitialized memory, overflow
xargs.c, 196, Double free, assertion
xwrap.c, 213, Uninitialized memory, pointer dereference
od.c, 294, Double free, assertion
ps.c, 726, Check stdlibfunc return, overflow
md5sum.c, 156, Uninitialized memory, pointer dereference
ls.c, 464, Uninitialized memory, pointer dereference
passwd.c, 147, Xfree, pointer dereference
sort.c, 152, Dead store, pointer dereference
readlink.c, 39, Xfree, assertion
ifconfig.c, 129, Check stdlibfunc return, overflow
uudecode.c, 36, Xfree, assertion
xwrap.c, 499, Double free, assertion
netstat.c, 138, Check stdlibfunc return, overflow
lib.c, 244, Check stdlibfunc return, overflow
ps.c, 1661, Xfree, assertion
hwclock.c, 96, Xfree, assertion
ls.c, 407, Uninitialized memory, overflow
lib.c, 1020, Dead store, pointer dereference
hwclock.c, 74, Check stdlibfunc return, assertion
cut.c, 143, Check stdlibfunc return, pointer dereference
comm.c, 62, Uninitialized memory, array bounds
args.c, 490, Uninitialized memory, pointer dereference
nohup.c, 30, Check stdlibfunc return, pointer dereference
blkid.c, 159, Uninitialized memory, pointer dereference
ls.c, 475, Uninitialized memory, overflow
ifconfig.c, 319, Uninitialized memory, overflow
sort.c, 159, Dead store, pointer dereference
blkid.c, 165, Check stdlibfunc return, assertion
ifconfig.c, 430, Check stdlibfunc return, pointer dereference
stat.c, 85, Uninitialized memory, pointer dereference
ls.c, 436, Uninitialized memory, overflow
which.c, 43, Check stdlibfunc return, pointer dereference
seq.c, 65, Case termination, pointer dereference
patch.c, 291, Xfree, assertion
ls.c, 414, Uninitialized memory, overflow
od.c, 179, Uninitialized memory, overflow
grep.c, 270, Check stdlibfunc return, assertion
ftpget.c, 166, Dead store, pointer dereference
factor.c, 58, Uninitialized memory, overflow
lib.c, 36, Uninitialized memory, pointer dereference
lib.c, 187, Uninitialized memory, pointer dereference
ls.c, 450, Uninitialized memory, overflow
xargs.c, 200, Xfree, assertion
comm.c, 75, Xfree, array bounds
lib.c, 1192, Xfree, assertion
cpio.c, 217, Xfree, assertion
tac.c, 41, Xfree, assertion
patch.c, 429, Xfree, assertion
interestingtimes.c, 173, Uninitialized memory, array bounds
dmesg.c, 66, Check stdlibfunc return, overflow
which.c, 56, Xfree, assertion
ls.c, 526, Xfree, assertion
ls.c, 378, Uninitialized memory, overflow
ls.c, 86, Check stdlibfunc return, pointer dereference
args.c, 367, Uninitialized memory, overflow
lib.c, 1159, Uninitialized memory, pointer dereference
grep.c, 158, Uninitialized memory, pointer dereference
ls.c, 461, Uninitialized memory, pointer dereference
comm.c, 66, Uninitialized memory, array bounds
passwd.c, 166, Xfree, assertion
xwrap.c, 89, Check stdlibfunc return, assertion
lib.c, 898, Check stdlibfunc return, pointer dereference
password.c, 187, Check stdlibfunc return, pointer dereference
uniq.c, 116, Check stdlibfunc return, assertion
ls.c, 422, Uninitialized memory, overflow
xwrap.c, 728, Uninitialized memory, pointer dereference
sort.c, 258, Xfree, assertion
inotifyd.c, 100, Uninitialized memory, pointer dereference
password.c, 119, Dead store, overflow
sort.c, 395, Double free, assertion
xwrap.c, 810, Check stdlibfunc return, pointer dereference
printf.c, 121, Check stdlibfunc return, overflow
hwclock.c, 95, Xfree, assertion
xwrap.c, 166, Check stdlibfunc return, pointer dereference
count.c, 29, Uninitialized memory, overflow
uniq.c, 57, Check stdlibfunc return, pointer dereference
sed.c, 618, Xfree, assertion
lib.c, 993, Check stdlibfunc return, overflow
sysctl.c, 112, Xfree, assertion
find.c, 549, Check stdlibfunc return, pointer dereference
netstat.c, 229, Check stdlibfunc return, assertion
rmdir.c, 36, Check stdlibfunc return, overflow
xwrap.c, 571, Xfree, assertion
od.c, 109, Dead store, overflow
xwrap.c, 501, Xfree, assertion
hwclock.c, 124, Check stdlibfunc return, overflow
xwrap.c, 137, Uninitialized memory, overflow
bzcat.c, 254, Uninitialized memory, array bounds
lsusb.c, 35, Check stdlibfunc return, overflow
microcom.c, 90, Uninitialized memory, overflow
date.c, 210, Check stdlibfunc return, pointer dereference
xwrap.c, 54, Double free, assertion
umount.c, 133, Xfree, assertion
grep.c, 168, Uninitialized memory, pointer dereference
dmesg.c, 173, Xfree, assertion
cut.c, 137, Xfree, assertion
xwrap.c, 264, Uninitialized memory, pointer dereference
