Filename, Line #, TypeChef-Type, .\toybox_0_7_5_ikos.json-Type
makedevs.c, 98, Uninitialized memory, ignored-call-side-effect
netstat.c, 181, Check stdlibfunc return, ignored-call-side-effect
expand.c, 110, Dead store, unreachable
sort.c, 395, Double free, ignored-free
sort.c, 258, Xfree, ignored-free
find.c, 549, Check stdlibfunc return, buffer-overflow
ls.c, 470, Uninitialized memory, ignored-call-side-effect
password.c, 147, Check stdlibfunc return, ignored-call-side-effect
ftpget.c, 179, Uninitialized memory, unreachable
vmstat.c, 66, Check stdlibfunc return, ignored-call-side-effect
getmountlist.c, 119, Double free, ignored-free
args.c, 367, Uninitialized memory, shift-count
ifconfig.c, 183, Uninitialized memory, ignored-call-side-effect
sed.c, 942, Check stdlibfunc return, ignored-call-side-effect
cal.c, 34, Uninitialized memory, signed-int-overflow
xwrap.c, 213, Uninitialized memory, unreachable
grep.c, 164, Uninitialized memory, signed-int-underflow
mktemp.c, 44, Check stdlibfunc return, ignored-call-side-effect
sed.c, 678, Check stdlibfunc return, unknown-memory-access
mount.c, 384, Xfree, ignored-free
ps.c, 1047, Dead store, unreachable
lib.c, 301, Check stdlibfunc return, null-pointer-deref
touch.c, 87, Check stdlibfunc return, unreachable
date.c, 100, Check stdlibfunc return, ignored-call-side-effect
comm.c, 61, Xfree, ignored-free
oneit.c, 105, Check stdlibfunc return, unknown-memory-access
cp.c, 394, Dead store, null-pointer-deref
bzcat.c, 291, Uninitialized memory, buffer-overflow
comm.c, 67, Xfree, ignored-free
sed.c, 788, Xfree, free
sysctl.c, 88, Xfree, ignored-free
md5sum.c, 199, Uninitialized memory, null-pointer-deref
linestack.c, 131, Check stdlibfunc return, ignored-call-side-effect
mount.c, 254, Xfree, ignored-free
ls.c, 377, Uninitialized memory, null-pointer-deref
hwclock.c, 122, Uninitialized memory, signed-int-underflow
pwd.c, 44, Uninitialized memory, ignored-call-side-effect
sort.c, 159, Dead store, unknown-memory-access
xxd.c, 93, Check stdlibfunc return, ignored-call-side-effect
hwclock.c, 96, Xfree, ignored-free
xwrap.c, 54, Double free, ignored-free
chgrp.c, 100, Xfree, ignored-free
getmountlist.c, 55, Check stdlibfunc return, ignored-call-side-effect
umount.c, 149, Dead store, null-pointer-deref
xwrap.c, 225, Uninitialized memory, unreachable
sysctl.c, 87, Xfree, ignored-free
cpio.c, 287, Uninitialized memory, unreachable
bzcat.c, 304, Uninitialized memory, buffer-overflow
date.c, 73, Check stdlibfunc return, ignored-call-side-effect
grep.c, 254, Xfree, ignored-free
sed.c, 668, Dead store, null-pointer-deref
sort.c, 148, Uninitialized memory, signed-int-underflow
makedevs.c, 55, Xfree, ignored-free
date.c, 151, Uninitialized memory, unknown-memory-access
xwrap.c, 166, Check stdlibfunc return, ignored-call-side-effect
xwrap.c, 89, Check stdlibfunc return, ignored-call-side-effect
lib.c, 920, Check stdlibfunc return, unknown-memory-access
lib.c, 244, Check stdlibfunc return, ignored-call-side-effect
xwrap.c, 234, Uninitialized memory, unreachable
lib.c, 898, Check stdlibfunc return, unknown-memory-access
which.c, 29, Check stdlibfunc return, ignored-call-side-effect
grep.c, 288, Check stdlibfunc return, ignored-call-side-effect
grep.c, 270, Check stdlibfunc return, ignored-call-side-effect
seq.c, 66, Case termination, buffer-overflow
xwrap.c, 56, Check stdlibfunc return, ignored-call-side-effect
patch.c, 328, Xfree, ignored-free
cal.c, 32, Uninitialized memory, ignored-call-side-effect
inotifyd.c, 68, Uninitialized memory, ignored-call-side-effect
lib.c, 907, Check stdlibfunc return, null-pointer-deref
lsusb.c, 39, Check stdlibfunc return, ignored-call-side-effect
xwrap.c, 501, Xfree, ignored-free
sort.c, 138, Uninitialized memory, null-pointer-deref
uniq.c, 116, Check stdlibfunc return, ignored-call-side-effect
rmdir.c, 36, Check stdlibfunc return, ignored-call-side-effect
readlink.c, 39, Xfree, ignored-free
bzcat.c, 287, Uninitialized memory, buffer-overflow
passwd.c, 147, Xfree, buffer-overflow
cal.c, 41, Dead store, unknown-memory-access
uuencode.c, 29, Dead store, buffer-overflow
cut.c, 171, Check stdlibfunc return, ignored-call-side-effect
sort.c, 401, Double free, ignored-free
ls.c, 383, Uninitialized memory, buffer-overflow
hwclock.c, 124, Check stdlibfunc return, ignored-call-side-effect
lib.c, 187, Uninitialized memory, unknown-memory-access
date.c, 144, Uninitialized memory, null-pointer-deref
ftpget.c, 159, Check stdlibfunc return, unreachable
cal.c, 50, Dead store, unknown-memory-access
ps.c, 1064, Uninitialized memory, buffer-overflow
passwd.c, 166, Xfree, ignored-free
find.c, 354, Check stdlibfunc return, unknown-memory-access
acpi.c, 39, Check stdlibfunc return, ignored-call-side-effect
ls.c, 526, Xfree, free
interestingtimes.c, 38, Check stdlibfunc return, ignored-call-side-effect
lib.c, 332, Check stdlibfunc return, ignored-call-side-effect
hwclock.c, 95, Xfree, ignored-free
mount.c, 263, Check stdlibfunc return, ignored-call-side-effect
lib.c, 993, Check stdlibfunc return, ignored-call-side-effect
md5sum.c, 186, Uninitialized memory, buffer-overflow
lib.c, 174, Uninitialized memory, ignored-call-side-effect
netstat.c, 83, Uninitialized memory, null-pointer-deref
date.c, 143, Dead store, null-pointer-deref
xwrap.c, 537, Double free, ignored-free
xargs.c, 197, Xfree, ignored-free
ps.c, 910, Dead store, null-pointer-deref
xwrap.c, 232, Uninitialized memory, unreachable
lsattr.c, 271, Xfree, ignored-free
xwrap.c, 785, Uninitialized memory, buffer-overflow
sort.c, 382, Double free, unknown-memory-access
hwclock.c, 74, Check stdlibfunc return, ignored-call-side-effect
mount.c, 107, Check stdlibfunc return, ignored-call-side-effect
tac.c, 41, Xfree, ignored-free
df.c, 109, Dead store, null-pointer-deref
lib.c, 527, Xfree, ignored-free
uudecode.c, 39, Check stdlibfunc return, ignored-call-side-effect
comm.c, 56, Uninitialized memory, ignored-call-side-effect
umount.c, 133, Xfree, ignored-free
date.c, 89, Check stdlibfunc return, ignored-call-side-effect
nbd_client.c, 83, Check stdlibfunc return, ignored-call-side-effect
cpio.c, 277, Xfree, ignored-free
ln.c, 86, Xfree, ignored-free
xwrap.c, 499, Double free, ignored-free
uniq.c, 118, Xfree, ignored-free
dmesg.c, 69, Check stdlibfunc return, ignored-call-side-effect
hwclock.c, 121, Uninitialized memory, signed-int-underflow
xwrap.c, 150, Check stdlibfunc return, ignored-call-side-effect
patch.c, 429, Xfree, ignored-free
date.c, 157, Uninitialized memory, unknown-memory-access
